White Sponge,TPU Box,Threadball,Rubber,Thermocol,Hollow TPU,Green Sponge,wood,PP,PLA,PC,Nylon,Metal,HIPS,ABS
,,4.902248289,4.907135875,,,,4.130009775,4.633431085,3.450635386,3.181818182,3.426197458,2.47311828,3.421309873,3.220918866
,,4.902248289,4.91202346,,,,4.130009775,4.643206256,3.401759531,3.010752688,3.445747801,2.482893451,3.34799609,3.299120235
,,4.902248289,4.907135875,,,,4.12512219,4.599217986,3.421309873,3.225806452,3.416422287,2.482893451,3.528836755,3.333333333
,,4.897360704,4.907135875,,,,4.130009775,4.623655914,3.416422287,3.069403715,3.440860215,2.502443793,3.367546432,3.318670577
,,4.902248289,4.91202346,,,,4.130009775,4.599217986,3.421309873,3.181818182,3.470185728,2.438905181,3.103616813,3.34799609
,,4.902248289,4.91202346,,,,4.134897361,4.633431085,3.421309873,3.137829912,3.416422287,2.502443793,3.352883675,3.34799609
,,4.902248289,4.91202346,,,,4.134897361,4.638318671,3.401759531,3.240469208,3.455522972,2.507331378,3.611925709,3.274682307
,,4.902248289,4.916911046,,,,4.139784946,4.648093842,3.411534702,3.401759531,3.460410557,2.497556207,2.649071359,3.308895406
,,4.897360704,4.916911046,,,,4.134897361,4.643206256,3.416422287,3.313782991,3.450635386,2.512218964,3.098729228,3.401759531
,,4.902248289,4.916911046,,,,4.144672532,4.633431085,3.43597263,3.343108504,3.455522972,2.531769306,3.66568915,3.411534702
,,4.902248289,4.91202346,,,,4.149560117,4.643206256,3.43597263,3.225806452,3.484848485,2.487781036,3.680351906,3.455522972
,,4.902248289,4.91202346,,,,4.144672532,4.633431085,3.426197458,3.264907136,3.426197458,2.531769306,2.697947214,3.382209189
,,4.907135875,4.91202346,,,,4.149560117,4.643206256,3.43597263,3.245356794,3.475073314,2.468230694,2.878787879,3.372434018
,,4.902248289,4.91202346,,,,4.149560117,4.643206256,3.440860215,3.142717498,3.440860215,2.468230694,3.333333333,3.43597263
,,4.907135875,4.91202346,,,,4.154447703,4.633431085,3.431085044,3.123167155,3.465298143,2.531769306,3.758553275,3.440860215
,,4.907135875,4.916911046,,,,4.154447703,4.618768328,3.431085044,3.250244379,3.440860215,2.502443793,3.651026393,3.455522972
,,4.907135875,4.91202346,,,,4.149560117,4.633431085,3.455522972,3.128054741,3.455522972,2.605083089,3.714565005,3.479960899
,,4.907135875,4.916911046,,,,4.154447703,4.6285435,3.460410557,3.230694037,3.43597263,2.575757576,3.563049853,3.494623656
,,4.897360704,4.91202346,,,,4.154447703,4.545454545,3.431085044,3.264907136,3.431085044,2.585532747,2.478005865,3.479960899
,,4.902248289,4.91202346,,,,4.149560117,4.159335288,3.421309873,3.357771261,3.416422287,2.678396872,2.52688172,3.53372434
,,4.902248289,4.916911046,,,,4.154447703,4.130009775,3.382209189,3.670576735,3.431085044,2.639296188,2.75659824,3.53372434
,,4.897360704,4.91202346,,,,4.159335288,4.374389052,3.450635386,4.276637341,3.440860215,2.634408602,2.668621701,3.543499511
,,4.907135875,4.916911046,,,,4.154447703,4.49657869,3.416422287,4.301075269,3.465298143,2.668621701,2.737047898,3.558162268
,,4.907135875,4.91202346,,,,4.164222874,4.45259042,3.411534702,4.574780059,3.421309873,2.541544477,2.722385142,3.572825024
,,4.902248289,4.916911046,,,,4.159335288,4.45259042,3.431085044,4.467253177,3.460410557,2.531769306,3.196480938,3.43597263
,,4.897360704,4.91202346,,,,4.173998045,4.393939394,3.421309873,4.643206256,3.445747801,2.624633431,2.971652004,3.264907136
,,4.907135875,4.91202346,,,,4.173998045,4.437927664,3.440860215,4.49657869,3.362658847,2.649071359,3.250244379,3.274682307
,,4.897360704,4.921798631,,,,4.169110459,4.462365591,3.416422287,4.623655914,3.450635386,2.683284457,4.012707722,3.30400782
,,4.907135875,4.91202346,,,,4.173998045,4.491691105,3.426197458,4.677419355,3.406647116,2.717497556,3.206256109,3.235581623
,,4.902248289,4.91202346,,,,4.173998045,4.428152493,3.421309873,4.745845552,3.470185728,2.600195503,3.245356794,3.191593353
,,4.897360704,4.916911046,,,,4.17888563,4.433040078,3.440860215,4.731182796,3.416422287,2.590420332,3.137829912,3.240469208
,,4.902248289,4.91202346,,,,4.173998045,4.472140762,3.377321603,4.731182796,3.411534702,2.678396872,3.484848485,3.308895406
,,4.902248289,4.91202346,,,,4.183773216,4.433040078,3.421309873,4.721407625,3.396871945,2.693059629,3.856304985,3.313782991
,,4.902248289,4.916911046,,,,4.17888563,4.442815249,3.367546432,4.731182796,3.440860215,2.653958944,4.17888563,3.367546432
,,4.897360704,4.91202346,,,,4.183773216,4.472140762,3.377321603,4.692082111,3.367546432,2.693059629,4.193548387,3.416422287
,,4.902248289,4.91202346,,,,4.17888563,4.462365591,3.431085044,4.701857283,3.34799609,2.649071359,3.416422287,3.445747801
,,4.897360704,4.91202346,,,,4.183773216,4.511241447,3.445747801,4.701857283,3.372434018,2.722385142,2.971652004,3.499511241
,,4.902248289,4.91202346,,,,4.183773216,4.545454545,3.445747801,2.859237537,3.352883675,2.829912023,2.913000978,3.519061584
,,4.902248289,4.91202346,,,,4.188660802,4.560117302,3.343108504,4.349951124,3.426197458,2.746823069,3.079178886,3.602150538
,,4.902248289,4.91202346,,,,4.183773216,4.589442815,3.39198436,3.455522972,3.372434018,2.781036168,3.044965787,3.465298143
,,4.902248289,4.91202346,,,,4.17888563,4.58455523,3.416422287,3.494623656,3.396871945,2.741935484,3.16226784,4.149560117
,,4.902248289,4.91202346,,,,4.188660802,4.618768328,3.411534702,4.589442815,3.401759531,2.761485826,3.137829912,3.998044966
,,4.902248289,4.907135875,,,,4.173998045,4.633431085,3.426197458,3.401759531,3.39198436,2.639296188,3.220918866,4.100684262
,,4.902248289,4.91202346,,,,4.188660802,4.643206256,3.450635386,3.548387097,3.416422287,2.639296188,3.264907136,3.010752688
,,4.897360704,4.916911046,,,,4.164222874,4.652981427,3.450635386,3.460410557,3.411534702,2.624633431,3.313782991,3.186705767
,,4.902248289,4.91202346,,,,4.183773216,4.648093842,3.460410557,3.558162268,3.431085044,2.717497556,3.675464321,3.040078201
,,4.902248289,4.91202346,,,,4.173998045,4.652981427,3.465298143,3.57771261,3.426197458,2.732160313,3.421309873,2.873900293
,,4.902248289,4.916911046,,,,4.183773216,4.652981427,3.396871945,3.411534702,3.431085044,2.693059629,3.528836755,4.760508309
,,4.897360704,4.916911046,,,,4.169110459,4.652981427,3.465298143,3.387096774,3.43597263,2.712609971,3.602150538,0.425219941
,,4.897360704,4.916911046,,,,4.183773216,4.638318671,3.470185728,4.491691105,3.475073314,2.732160313,3.587487781,3.753665689
,,4.902248289,4.91202346,,,,4.183773216,4.638318671,3.479960899,4.134897361,3.470185728,2.7028348,3.660801564,3.582600196
,,4.897360704,4.916911046,,,,4.193548387,4.648093842,3.479960899,3.338220919,3.475073314,2.834799609,3.675464321,2.927663734
,,4.897360704,4.91202346,,,,4.173998045,4.623655914,3.479960899,3.284457478,3.440860215,2.688172043,3.66568915,3.34799609
,,4.907135875,4.91202346,,,,4.188660802,4.638318671,3.499511241,3.450635386,3.450635386,2.707722385,3.704789834,4.017595308
,,4.897360704,4.916911046,,,,4.188660802,4.6285435,3.401759531,3.338220919,3.450635386,2.722385142,3.734115347,3.983382209
,,4.902248289,4.91202346,,,,4.188660802,4.056695992,3.445747801,3.592375367,3.499511241,2.7028348,3.641251222,3.817204301
,,4.902248289,4.91202346,,,,4.188660802,4.413489736,3.421309873,3.616813294,3.465298143,2.668621701,3.690127077,3.323558162
,,4.902248289,4.91202346,,,,4.183773216,4.521016618,3.479960899,3.592375367,3.450635386,2.820136852,3.675464321,3.94916911
,,4.897360704,4.916911046,,,,4.193548387,4.467253177,3.450635386,3.558162268,3.460410557,2.795698925,3.611925709,4.188660802
,,4.902248289,4.916911046,,,,4.188660802,4.477028348,3.475073314,3.582600196,3.460410557,2.678396872,3.616813294,4.154447703
,,4.902248289,4.916911046,,,,4.193548387,4.384164223,3.323558162,3.543499511,3.475073314,2.693059629,3.675464321,3.817204301
,,4.897360704,4.91202346,,,,4.188660802,4.599217986,3.382209189,3.431085044,3.484848485,2.697947214,3.729227761,3.846529814
,,4.907135875,4.916911046,,,,4.188660802,4.604105572,3.421309873,3.39198436,3.470185728,2.722385142,3.71945259,3.812316716
,,4.902248289,4.921798631,,,,4.193548387,4.389051808,3.460410557,3.387096774,3.465298143,2.776148583,3.768328446,3.831867058
,,4.902248289,4.916911046,,,,4.208211144,4.701857283,3.484848485,3.445747801,3.460410557,2.785923754,3.572825024,3.826979472
,,4.907135875,4.916911046,,,,4.198435973,4.433040078,3.475073314,3.567937439,3.475073314,2.746823069,3.773216031,3.856304985
,,4.902248289,4.916911046,,,,4.203323558,4.565004888,3.475073314,3.504398827,3.460410557,2.795698925,3.787878788,3.792766373
,,4.897360704,4.91202346,,,,4.198435973,4.555229717,3.440860215,3.416422287,3.450635386,2.781036168,3.822091887,3.836754643
,,4.907135875,4.91202346,,,,4.203323558,4.565004888,3.460410557,3.460410557,3.455522972,2.790811339,3.890518084,3.8514174
,,4.902248289,4.91202346,,,,4.198435973,4.550342131,3.455522972,3.479960899,3.470185728,2.810361681,3.861192571,3.80742913
,,4.907135875,4.91202346,,,,4.188660802,4.54056696,3.479960899,3.479960899,3.470185728,2.766373412,3.787878788,3.831867058
,,4.902248289,4.916911046,,,,4.198435973,4.530791789,3.479960899,3.514173998,3.484848485,2.825024438,3.846529814,3.831867058
,,4.902248289,4.916911046,,,,4.203323558,4.560117302,3.48973607,3.48973607,3.499511241,2.93255132,3.846529814,3.866080156
,,4.907135875,4.907135875,,,,4.208211144,4.58455523,3.479960899,3.519061584,3.465298143,2.854349951,3.8514174,3.861192571
,,4.907135875,4.916911046,,,,4.198435973,4.594330401,3.455522972,3.431085044,3.470185728,2.869012708,3.817204301,3.875855327
,,4.907135875,4.916911046,,,,4.203323558,4.599217986,3.494623656,3.299120235,3.450635386,2.829912023,3.900293255,3.890518084
,,4.902248289,4.91202346,,,,4.208211144,4.604105572,3.465298143,3.406647116,3.470185728,2.805474096,3.910068426,3.866080156
,,4.902248289,4.916911046,,,,4.208211144,4.599217986,3.509286413,3.137829912,3.479960899,2.712609971,3.841642229,3.880742913
,,4.902248289,4.916911046,,,,4.213098729,4.613880743,3.504398827,3.308895406,3.475073314,2.746823069,3.861192571,3.885630499
,,4.907135875,4.91202346,,,,4.208211144,4.608993157,3.499511241,3.328445748,3.470185728,2.815249267,3.817204301,3.910068426
,,4.902248289,4.916911046,,,,4.208211144,4.608993157,3.494623656,3.313782991,3.43597263,2.776148583,3.817204301,3.8514174
,,4.902248289,4.916911046,,,,4.173998045,4.613880743,3.499511241,3.421309873,3.499511241,2.80058651,3.748778104,3.866080156
,,4.907135875,4.916911046,,,,4.208211144,4.398826979,3.484848485,3.567937439,3.509286413,2.834799609,3.607038123,3.924731183
,,4.902248289,4.91202346,,,,4.203323558,4.467253177,3.514173998,3.484848485,3.479960899,2.873900293,3.460410557,3.866080156
,,4.902248289,4.91202346,,,,4.173998045,4.442815249,3.499511241,3.406647116,3.475073314,2.898338221,3.396871945,3.875855327
,,4.907135875,4.91202346,,,,4.208211144,4.477028348,3.509286413,3.406647116,3.48973607,2.746823069,3.367546432,3.758553275
,,4.907135875,4.916911046,,,,4.213098729,4.589442815,3.509286413,3.299120235,3.479960899,2.849462366,3.323558162,3.753665689
,,4.897360704,4.91202346,,,,4.164222874,4.662756598,3.499511241,3.255131965,3.416422287,2.878787879,3.553274682,3.861192571
,,4.897360704,4.916911046,,,,4.208211144,4.437927664,3.504398827,3.240469208,3.509286413,2.790811339,3.567937439,3.846529814
,,4.902248289,4.916911046,,,,4.213098729,4.525904203,3.499511241,3.382209189,3.460410557,2.859237537,3.465298143,3.792766373
,,4.902248289,4.916911046,,,,4.208211144,4.521016618,3.504398827,3.382209189,3.475073314,2.815249267,3.191593353,3.714565005
,,4.907135875,4.916911046,,,,4.217986315,4.481915934,3.523949169,3.323558162,3.48973607,2.849462366,3.431085044,3.729227761
,,4.907135875,4.916911046,,,,4.188660802,4.49657869,3.523949169,3.382209189,3.484848485,2.869012708,3.255131965,3.709677419
,,4.902248289,4.916911046,,,,4.213098729,4.511241447,3.475073314,3.411534702,3.426197458,2.898338221,3.230694037,3.743890518
,,4.907135875,4.916911046,,,,4.198435973,4.501466276,3.528836755,3.382209189,3.426197458,2.869012708,3.235581623,3.80742913
,,4.907135875,4.916911046,,,,4.208211144,4.521016618,3.538611926,3.440860215,3.494623656,2.859237537,3.264907136,3.817204301
,,4.907135875,4.916911046,,,,4.213098729,4.521016618,3.519061584,3.470185728,3.377321603,2.84457478,3.528836755,3.836754643
,,4.902248289,4.916911046,,,,4.198435973,4.535679374,3.528836755,3.308895406,3.519061584,2.825024438,3.714565005,3.826979472
,,4.902248289,4.91202346,,,,4.217986315,4.560117302,3.523949169,3.338220919,3.57771261,2.859237537,3.831867058,3.817204301
,,4.907135875,4.916911046,,,,4.203323558,4.574780059,3.53372434,3.299120235,3.357771261,2.859237537,3.797653959,3.71945259
,,4.907135875,4.916911046,,,,4.208211144,4.579667644,3.543499511,3.137829912,3.377321603,2.903225806,3.866080156,3.699902248
,,4.902248289,4.91202346,,,,4.217986315,4.579667644,3.53372434,0,3.30400782,2.869012708,3.846529814,3.636363636
,,4.897360704,4.916911046,,,,4.208211144,4.594330401,3.553274682,4.692082111,3.264907136,2.878787879,3.826979472,3.636363636
,,4.907135875,4.916911046,,,,4.2228739,4.618768328,3.548387097,4.604105572,3.250244379,2.873900293,3.856304985,3.660801564
,,4.902248289,4.916911046,,,,4.213098729,4.633431085,3.558162268,3.655913978,3.284457478,2.922776149,3.880742913,3.670576735
,,4.907135875,4.916911046,,,,4.2228739,4.643206256,3.558162268,4.6285435,3.191593353,2.961876833,3.856304985,3.680351906
,,4.907135875,4.921798631,,,,4.2228739,4.638318671,3.558162268,4.633431085,3.069403715,2.88856305,3.880742913,3.699902248
,,4.902248289,4.921798631,,,,4.213098729,4.648093842,3.553274682,4.447702835,3.010752688,2.917888563,3.880742913,3.699902248
,,4.907135875,4.916911046,,,,4.217986315,4.633431085,3.563049853,3.343108504,3.123167155,2.942326491,3.910068426,3.739002933
,,4.897360704,4.916911046,,,,4.2228739,4.652981427,3.587487781,2.913000978,3.333333333,2.839687195,3.919843597,3.690127077
,,4.902248289,4.91202346,,,,4.2228739,4.652981427,3.567937439,3.333333333,3.48973607,2.913000978,3.919843597,3.704789834
,,4.902248289,4.907135875,,,,4.2228739,4.662756598,3.57771261,3.289345064,3.558162268,2.873900293,3.978494624,3.709677419
,,4.902248289,4.916911046,,,,4.227761486,4.672531769,3.563049853,3.279569892,3.455522972,2.849462366,4.012707722,3.76344086
,,4.902248289,4.916911046,,,,4.217986315,4.667644184,3.558162268,3.509286413,3.426197458,2.839687195,4.017595308,3.739002933
,,4.902248289,4.921798631,,,,4.2228739,4.667644184,3.523949169,4.467253177,3.128054741,2.834799609,4.017595308,3.71945259
,,4.902248289,4.916911046,,,,4.227761486,4.667644184,3.563049853,4.623655914,3.333333333,2.981427175,3.983382209,3.729227761
,,4.902248289,4.916911046,,,,4.227761486,4.657869013,3.553274682,4.882697947,3.274682307,2.942326491,3.988269795,3.695014663
,,4.902248289,4.916911046,,,,4.2228739,4.657869013,3.563049853,4.882697947,3.34799609,2.869012708,3.939393939,3.675464321
,,4.907135875,4.91202346,,,,4.2228739,4.643206256,3.563049853,4.530791789,3.108504399,2.927663734,3.939393939,3.592375367
,,4.907135875,4.921798631,,,,4.2228739,4.652981427,3.563049853,4.276637341,3.113391984,2.898338221,3.944281525,3.616813294
,,4.902248289,4.916911046,,,,4.232649071,4.613880743,3.57771261,4.887585533,3.216031281,2.88856305,3.939393939,3.646138807
,,4.907135875,4.916911046,,,,4.232649071,4.613880743,3.572825024,4.887585533,3.152492669,2.883675464,3.958944282,3.567937439
,,4.902248289,4.916911046,,,,4.2228739,4.437927664,3.572825024,4.887585533,3.245356794,2.937438905,3.958944282,3.602150538
,,4.907135875,4.916911046,,,,4.237536657,4.467253177,3.57771261,4.887585533,3.30400782,2.917888563,3.973607038,3.626588465
,,4.902248289,4.916911046,,,,4.232649071,4.491691105,3.57771261,3.264907136,3.352883675,2.917888563,3.968719453,3.66568915
,,4.897360704,4.916911046,,,,4.237536657,4.506353861,3.543499511,3.005865103,3.416422287,2.922776149,3.954056696,3.670576735
,,4.907135875,4.916911046,,,,4.237536657,4.511241447,3.582600196,2.883675464,3.401759531,2.937438905,3.963831867,3.57771261
,,4.902248289,4.916911046,,,,4.227761486,4.535679374,3.572825024,3.255131965,3.406647116,2.947214076,3.978494624,3.62170088
,,4.907135875,4.916911046,,,,4.247311828,4.550342131,3.582600196,3.269794721,3.431085044,2.922776149,3.958944282,3.651026393
,,4.902248289,4.916911046,,,,4.257086999,4.589442815,3.572825024,3.240469208,3.426197458,2.956989247,3.954056696,3.602150538
,,4.902248289,4.916911046,,,,4.261974585,4.604105572,3.592375367,3.245356794,3.411534702,2.981427175,3.954056696,3.675464321
,,4.902248289,4.916911046,,,,4.26686217,4.6285435,3.587487781,3.30400782,3.421309873,3.020527859,3.94916911,3.709677419
